label,scenario,n_atoms,charge,n_bonds,E_sp_eV,E_relax_eV,converged,steps,E_form_eV,E_form_per_bond_eV
Fe3+_A_BTC_only_BTC[s1]_BTC[s1]_planar_q-3,A,37,-3,2,-2558.789,-2561.475,True,42,-57.763,-28.881
Fe3+_A_BTC_only_BTC[s1]_BTC[s2]_planar_q-3,A,37,-3,3,-2556.316,-2562.683,False,50,-58.97,-19.657
Fe3+_A_BTC_only_BTC[s2]_planar_q+0,A,19,0,2,-1306.693,-1312.647,True,42,-50.573,-25.287
Fe3+_B_BTC_EDTA_BTC[s1]_BTC[s1]_planar_q-3,B,37,-3,2,-2558.789,-2561.475,True,42,-57.763,-28.881
Fe3+_B_BTC_EDTA_BTC[s1]_BTC[s2]_planar_q-3,B,37,-3,3,-2556.316,-2562.683,False,50,-58.97,-19.657
Fe3+_B_BTC_EDTA_BTC[s1]_EDTA[s1]_planar_q-4,B,51,-4,2,-3121.96,-3127.949,True,48,-60.097,-30.049
Fe3+_B_BTC_EDTA_BTC[s2]_planar_q+0,B,19,0,2,-1306.693,-1312.647,True,42,-50.573,-25.287
Fe3+_B_BTC_EDTA_EDTA[s1]_EDTA[s1]_planar_q-5,B,65,-5,2,-3684.354,-3691.019,True,36,-59.028,-29.514
Fe3+_B_BTC_EDTA_EDTA[s4]_planar_q-1,B,33,-1,4,-1876.364,-1887.826,False,50,-61.614,-15.403
Fe3+_B_BTC_EDTA_EDTA[s4]_tetrahedral_q-1,B,33,-1,4,-1876.252,-1888.766,False,50,-62.554,-15.639
Fe3+_B_BTC_EDTA_EDTA[s6]_octahedral_q-1,B,33,-1,6,-1876.609,-1889.018,True,44,-62.806,-10.468
Fe3+_C_BTC_EDDA_BTC[s1]_BTC[s1]_EDDA[s1]_EDDA[s1]_planar_q-7,C,81,-7,4,-4737.44,-4743.764,False,50,-39.545,-9.886
Fe3+_C_BTC_EDDA_BTC[s1]_BTC[s1]_EDDA[s1]_EDDA[s1]_tetrahedral_q-7,C,81,-7,4,-4739.282,-4744.713,False,50,-40.494,-10.124
Fe3+_C_BTC_EDDA_BTC[s1]_BTC[s1]_EDDA[s1]_planar_q-5,C,59,-5,3,-3652.789,-3656.172,False,35,-52.206,-17.402
Fe3+_C_BTC_EDDA_BTC[s1]_BTC[s1]_planar_q-3,C,37,-3,2,-2558.789,-2561.389,False,35,-57.676,-28.838
Fe3+_C_BTC_EDDA_BTC[s1]_BTC[s2]_EDDA[s1]_planar_q-5,C,59,-5,4,-3647.403,-3654.683,False,35,-50.717,-12.679
Fe3+_C_BTC_EDDA_BTC[s1]_BTC[s2]_EDDA[s1]_tetrahedral_q-5,C,59,-5,4,-3650.925,-3656.261,True,28,-52.295,-13.074
Fe3+_C_BTC_EDDA_BTC[s1]_BTC[s2]_planar_q-3,C,37,-3,3,-2556.316,-2562.463,False,35,-58.75,-19.583
