scenario,label,n_atoms,qc_valid,min_clash,formation_eV
A_BTC_only,Ni2+_A_BTC_only_BTC[s1]_BTC[s1]_planar_q-4,37,True,0.66,
A_BTC_only,Ni2+_A_BTC_only_BTC[s1]_BTC[s2]_planar_q-4,37,True,0.66,
B_BTC_EDTA,Ni2+_B_BTC_EDTA_EDTA[s4]_planar_q-2,33,True,0.696,
B_BTC_EDTA,Ni2+_B_BTC_EDTA_EDTA[s4]_tetrahedral_q-2,33,True,0.691,
B_BTC_EDTA,Ni2+_B_BTC_EDTA_EDTA[s6]_octahedral_q-2,33,True,0.697,
B_BTC_EDTA,Ni2+_B_BTC_EDTA_EDTA[s1]_EDTA[s1]_planar_q-6,65,True,0.742,
B_BTC_EDTA,Ni2+_B_BTC_EDTA_BTC[s1]_EDTA[s1]_planar_q-5,51,True,0.66,
B_BTC_EDTA,Ni2+_B_BTC_EDTA_BTC[s1]_BTC[s1]_planar_q-4,37,True,0.66,
B_BTC_EDTA,Ni2+_B_BTC_EDTA_BTC[s1]_BTC[s2]_planar_q-4,37,True,0.66,
C_BTC_EDDA,Ni2+_C_BTC_EDDA_EDDA[s4]_tetrahedral_q+0,23,True,0.851,
C_BTC_EDDA,Ni2+_C_BTC_EDDA_EDDA[s1]_EDDA[s1]_planar_q-2,45,True,0.727,
C_BTC_EDDA,Ni2+_C_BTC_EDDA_BTC[s1]_EDDA[s1]_planar_q-3,41,True,0.66,
C_BTC_EDDA,Ni2+_C_BTC_EDDA_BTC[s1]_EDDA[s1]_EDDA[s1]_planar_q-5,63,True,0.66,
C_BTC_EDDA,Ni2+_C_BTC_EDDA_BTC[s2]_EDDA[s1]_EDDA[s1]_tetrahedral_q-5,63,True,0.674,
C_BTC_EDDA,Ni2+_C_BTC_EDDA_BTC[s1]_BTC[s1]_planar_q-4,37,True,0.66,
C_BTC_EDDA,Ni2+_C_BTC_EDDA_BTC[s1]_BTC[s2]_planar_q-4,37,True,0.66,
C_BTC_EDDA,Ni2+_C_BTC_EDDA_BTC[s1]_BTC[s1]_EDDA[s1]_planar_q-6,59,True,0.66,
C_BTC_EDDA,Ni2+_C_BTC_EDDA_BTC[s1]_BTC[s2]_EDDA[s1]_planar_q-6,59,True,0.66,
C_BTC_EDDA,Ni2+_C_BTC_EDDA_BTC[s1]_BTC[s2]_EDDA[s1]_tetrahedral_q-6,59,True,0.784,
C_BTC_EDDA,Ni2+_C_BTC_EDDA_BTC[s2]_BTC[s2]_EDDA[s1]_planar_q-6,59,True,0.782,
C_BTC_EDDA,Ni2+_C_BTC_EDDA_BTC[s1]_BTC[s1]_EDDA[s1]_EDDA[s1]_planar_q-8,81,True,0.66,
C_BTC_EDDA,Ni2+_C_BTC_EDDA_BTC[s1]_BTC[s1]_EDDA[s1]_EDDA[s1]_tetrahedral_q-8,81,True,0.674,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_EDDA[s4]_tetrahedral_q+0,23,True,0.851,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_EDDA[s1]_EDDA[s1]_planar_q-2,45,True,0.727,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_EDTA[s4]_planar_q-2,33,True,0.696,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_EDTA[s4]_tetrahedral_q-2,33,True,0.691,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_EDTA[s6]_octahedral_q-2,33,True,0.697,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_EDTA[s1]_EDDA[s1]_planar_q-4,55,True,0.742,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_EDTA[s1]_EDTA[s1]_planar_q-6,65,True,0.742,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_EDDA[s1]_planar_q-3,41,True,0.66,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_EDDA[s1]_EDDA[s1]_planar_q-5,63,True,0.66,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_BTC[s2]_EDDA[s1]_EDDA[s1]_tetrahedral_q-5,63,True,0.674,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_EDTA[s1]_planar_q-5,51,True,0.66,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_EDTA[s1]_EDDA[s1]_planar_q-7,73,True,0.66,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_EDTA[s1]_EDDA[s1]_EDDA[s1]_tetrahedral_q-9,95,True,0.729,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_BTC[s1]_planar_q-4,37,True,0.66,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_BTC[s2]_planar_q-4,37,True,0.66,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_BTC[s1]_EDDA[s1]_planar_q-6,59,True,0.66,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_BTC[s2]_EDDA[s1]_planar_q-6,59,True,0.66,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_BTC[s2]_EDDA[s1]_tetrahedral_q-6,59,True,0.784,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_BTC[s2]_BTC[s2]_EDDA[s1]_planar_q-6,59,True,0.782,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_BTC[s1]_EDDA[s1]_EDDA[s1]_planar_q-8,81,True,0.66,
D_BTC_EDTA_EDDA,Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_BTC[s1]_EDDA[s1]_EDDA[s1]_tetrahedral_q-8,81,True,0.674,
