label,scenario,n_atoms,charge,n_bonds,E_sp_eV,E_relax_eV,converged,steps,E_form_eV,E_form_per_bond_eV
Ni2+_A_BTC_only_BTC[s1]_BTC[s1]_planar_q-4,A,37,-4,2,-2605.605,-2608.56,True,64,-36.356,-18.178
Ni2+_A_BTC_only_BTC[s1]_BTC[s2]_planar_q-4,A,37,-4,3,-2602.061,-2607.951,True,40,-35.746,-11.915
Ni2+_B_BTC_EDTA_BTC[s1]_BTC[s1]_planar_q-4,B,37,-4,2,-2605.605,-2608.56,True,64,-36.356,-18.178
Ni2+_B_BTC_EDTA_BTC[s1]_BTC[s2]_planar_q-4,B,37,-4,3,-2602.061,-2607.951,True,40,-35.746,-11.915
Ni2+_B_BTC_EDTA_BTC[s1]_EDTA[s1]_planar_q-5,B,51,-5,2,-3166.902,-3171.528,True,43,-35.118,-17.559
Ni2+_B_BTC_EDTA_EDTA[s1]_EDTA[s1]_planar_q-6,B,65,-6,2,-3728.069,-3734.765,True,71,-34.15,-17.075
Ni2+_B_BTC_EDTA_EDTA[s4]_planar_q-2,B,33,-2,4,-1928.444,-1938.693,True,48,-43.928,-10.982
Ni2+_B_BTC_EDTA_EDTA[s4]_tetrahedral_q-2,B,33,-2,4,-1927.588,-1938.708,True,59,-43.943,-10.986
Ni2+_B_BTC_EDTA_EDTA[s6]_octahedral_q-2,B,33,-2,6,-1927.354,-1939.628,True,67,-44.863,-7.477
Ni2+_C_BTC_EDDA_BTC[s1]_BTC[s1]_EDDA[s1]_EDDA[s1]_planar_q-8,C,81,-8,4,-4776.571,-4785.077,False,90,-12.344,-3.086
Ni2+_C_BTC_EDDA_BTC[s1]_BTC[s1]_EDDA[s1]_EDDA[s1]_tetrahedral_q-8,C,81,-8,4,-4777.082,-4784.667,False,90,-11.935,-2.984
Ni2+_C_BTC_EDDA_BTC[s1]_BTC[s1]_EDDA[s1]_planar_q-6,C,59,-6,3,-3695.062,-3699.077,False,50,-26.609,-8.87
Ni2+_C_BTC_EDDA_BTC[s1]_BTC[s1]_planar_q-4,C,37,-4,2,-2605.605,-2608.299,True,44,-36.094,-18.047
Ni2+_C_BTC_EDDA_BTC[s1]_BTC[s2]_EDDA[s1]_planar_q-6,C,59,-6,4,-3689.399,-3697.028,False,50,-24.559,-6.14
Ni2+_C_BTC_EDDA_BTC[s1]_BTC[s2]_EDDA[s1]_tetrahedral_q-6,C,59,-6,4,-3692.603,-3698.573,True,31,-26.105,-6.526
Ni2+_C_BTC_EDDA_BTC[s1]_BTC[s2]_planar_q-4,C,37,-4,3,-2602.061,-2607.944,True,39,-35.74,-11.913
Ni2+_C_BTC_EDDA_BTC[s1]_EDDA[s1]_EDDA[s1]_planar_q-5,C,63,-5,3,-3557.006,-3560.248,True,36,-29.16,-9.72
Ni2+_C_BTC_EDDA_BTC[s1]_EDDA[s1]_planar_q-3,C,41,-3,2,-2464.161,-2466.598,True,23,-35.775,-17.887
Ni2+_C_BTC_EDDA_BTC[s2]_BTC[s2]_EDDA[s1]_planar_q-6,C,59,-6,5,-3683.559,-3695.534,False,50,-23.066,-4.613
Ni2+_C_BTC_EDDA_BTC[s2]_EDDA[s1]_EDDA[s1]_tetrahedral_q-5,C,63,-5,4,-3554.079,-3560.495,True,31,-29.408,-7.352
Ni2+_C_BTC_EDDA_EDDA[s1]_EDDA[s1]_planar_q-2,C,45,-2,2,-2320.718,-2322.628,True,21,-33.185,-16.593
Ni2+_C_BTC_EDDA_EDDA[s4]_tetrahedral_q+0,C,23,0,4,-1215.935,-1220.697,True,17,-31.518,-7.88
Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_BTC[s1]_EDDA[s1]_EDDA[s1]_planar_q-8,D,81,-8,4,-4776.571,-4783.789,False,50,-11.057,-2.764
Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_BTC[s1]_EDDA[s1]_EDDA[s1]_tetrahedral_q-8,D,81,-8,4,-4777.082,-4783.735,False,50,-11.003,-2.751
Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_BTC[s1]_EDDA[s1]_planar_q-6,D,59,-6,3,-3695.062,-3699.077,False,50,-26.609,-8.87
Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_BTC[s1]_planar_q-4,D,37,-4,2,-2605.605,-2608.299,True,44,-36.094,-18.047
Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_BTC[s2]_EDDA[s1]_planar_q-6,D,59,-6,4,-3689.399,-3697.028,False,50,-24.559,-6.14
Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_BTC[s2]_EDDA[s1]_tetrahedral_q-6,D,59,-6,4,-3692.603,-3698.573,True,31,-26.105,-6.526
Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_BTC[s2]_planar_q-4,D,37,-4,3,-2602.061,-2607.944,True,39,-35.74,-11.913
Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_EDDA[s1]_EDDA[s1]_planar_q-5,D,63,-5,3,-3557.006,-3560.248,True,36,-29.16,-9.72
Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_EDDA[s1]_planar_q-3,D,41,-3,2,-2464.161,-2466.598,True,23,-35.775,-17.887
Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_EDTA[s1]_EDDA[s1]_EDDA[s1]_tetrahedral_q-9,D,95,-9,4,-5332.644,-5341.146,False,50,-4.209,-1.052
Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_EDTA[s1]_EDDA[s1]_planar_q-7,D,73,-7,3,-4251.284,-4258.347,False,50,-21.674,-7.225
Ni2+_D_BTC_EDTA_EDDA_BTC[s1]_EDTA[s1]_planar_q-5,D,51,-5,2,-3166.902,-3171.459,True,38,-35.05,-17.525
Ni2+_D_BTC_EDTA_EDDA_BTC[s2]_BTC[s2]_EDDA[s1]_planar_q-6,D,59,-6,5,-3683.559,-3695.534,False,50,-23.066,-4.613
Ni2+_D_BTC_EDTA_EDDA_BTC[s2]_EDDA[s1]_EDDA[s1]_tetrahedral_q-5,D,63,-5,4,-3554.079,-3560.495,True,31,-29.408,-7.352
Ni2+_D_BTC_EDTA_EDDA_EDDA[s1]_EDDA[s1]_planar_q-2,D,45,-2,2,-2320.718,-2322.628,True,21,-33.185,-16.593
Ni2+_D_BTC_EDTA_EDDA_EDDA[s4]_tetrahedral_q+0,D,23,0,4,-1215.935,-1220.697,True,17,-31.518,-7.88
Ni2+_D_BTC_EDTA_EDDA_EDTA[s1]_EDDA[s1]_planar_q-4,D,55,-4,2,-3028.645,-3032.976,True,35,-37.947,-18.973
Ni2+_D_BTC_EDTA_EDDA_EDTA[s1]_EDTA[s1]_planar_q-6,D,65,-6,2,-3728.069,-3734.069,True,33,-33.454,-16.727
Ni2+_D_BTC_EDTA_EDDA_EDTA[s4]_planar_q-2,D,33,-2,4,-1928.444,-1938.655,True,41,-43.89,-10.973
Ni2+_D_BTC_EDTA_EDDA_EDTA[s4]_tetrahedral_q-2,D,33,-2,4,-1927.588,-1938.65,True,50,-43.885,-10.971
Ni2+_D_BTC_EDTA_EDDA_EDTA[s6]_octahedral_q-2,D,33,-2,6,-1927.354,-1939.381,False,50,-44.616,-7.436
