kind,metal,name,comp,charge,n_btc,n_edta,n_W,n_E,n_D,E_W,E_E,E_D
ref,-,solv_W,-,0,0,0,0,0,0,-138.367,-138.2023,-138.2759
ref,-,solv_E,-,0,0,0,0,0,0,-310.2204,-310.2385,-310.2785
ref,-,solv_D,-,0,0,0,0,0,0,-462.3729,-462.4509,-462.4744
ref,Ni,ion,-,2,0,0,0,0,0,-100.6078,-99.2845,-98.1362
ref,Ni,BTC,-,-3,1,0,0,0,0,-1257.2413,-1256.5648,-1255.7091
ref,Ni,EDTA,-,-4,0,1,0,0,0,-1829.5229,-1828.5015,-1827.5113
cluster,Ni,ion,_W,2,0,0,6,0,0,-946.2123,-945.4218,-945.5228
cluster,Ni,node,_W,-4,2,0,4,0,0,-3184.418,-3183.5468,-3182.8463
cluster,Ni,ion,_E,2,0,0,0,6,0,-1976.2749,-1976.5846,-1976.3645
cluster,Ni,node,_E,-4,2,0,0,4,0,-3871.7232,-3871.272,-3870.3936
cluster,Ni,ion,_D,2,0,0,0,0,6,-2890.7328,-2891.2474,-2891.2731
cluster,Ni,node,_D,-4,2,0,0,0,4,-4481.2952,-4480.8321,-4479.646
cluster,Ni,ion,_WE,2,0,0,3,3,0,-1461.4681,-1461.2338,-1461.1722
cluster,Ni,node,_WE,-4,2,0,2,2,0,-3528.1235,-3527.5226,-3526.7858
cluster,Ni,ion,_WD,2,0,0,3,0,3,-1918.2275,-1918.154,-1918.206
cluster,Ni,node,_WD,-4,2,0,2,0,2,-3832.5653,-3831.9145,-3830.998
cluster,Ni,ion,_ED,2,0,0,0,3,3,-2434.0208,-2434.4282,-2434.3619
cluster,Ni,node,_ED,-4,2,0,0,2,2,-4176.2426,-4175.7548,-4174.7124
cluster,Ni,ion,_WED,2,0,0,2,2,2,-1937.9208,-1937.947,-1937.9343
cluster,Ni,node,_WED,-4,2,0,2,1,1,-3680.7536,-3680.0992,-3679.233
ref,Fe,ion,-,3,0,0,0,0,0,-44.7844,-42.7381,-40.0182
ref,Fe,BTC,-,-3,1,0,0,0,0,-1257.2386,-1256.5633,-1255.7035
ref,Fe,EDTA,-,-4,0,1,0,0,0,-1829.4355,-1828.4089,-1827.4151
cluster,Fe,ion,_W,3,0,0,6,0,0,-891.2747,-889.1079,-888.987
cluster,Fe,node,_W,-3,2,0,4,0,0,-3129.4944,-3129.1589,-3128.5513
cluster,Fe,ion,_E,3,0,0,0,6,0,-1921.5968,-1920.9485,-1920.5668
cluster,Fe,node,_E,-3,2,0,0,4,0,-3816.8036,-3817.041,-3816.2946
cluster,Fe,ion,_D,3,0,0,0,0,6,-2836.7294,-2836.0233,-2836.311
cluster,Fe,node,_D,-3,2,0,0,0,4,-4425.416,-4426.1019,-4424.8782
cluster,Fe,ion,_WE,3,0,0,3,3,0,-1406.4054,-1405.2091,-1404.9496
cluster,Fe,node,_WE,-3,2,0,2,2,0,-3473.2787,-3473.1949,-3472.5972
cluster,Fe,ion,_WD,3,0,0,3,0,3,-1864.201,-1862.8712,-1863.0367
cluster,Ni,edta,_none,-2,0,1,0,0,0,-1945.9593,-1945.9013,-1945.6678
cluster,Fe,node,_WD,-3,2,0,2,0,2,-3777.7798,-3777.881,-3777.0483
cluster,Fe,ion,_ED,3,0,0,0,3,3,-2379.3568,-2378.5126,-2378.5902
cluster,Fe,node,_ED,-3,2,0,0,2,2,-4121.2727,-4121.5884,-4120.7374
cluster,Fe,ion,_WED,3,0,0,2,2,2,-1883.3883,-1882.2764,-1882.2621
cluster,Fe,node,_WED,-3,2,0,2,1,1,-3625.4021,-3625.3782,-3624.6639
cluster,Fe,edta,_none,-1,0,1,0,0,0,-1888.9954,-1889.6335,-1889.3747
