metal,system,Ef_node,Ef_ion,Ef_edta,nucleation_dG,seq_margin
Ni,W,-15.86,-15.4,-15.83,-0.46,0.03
Ni,E,-17.9,-15.87,-18.12,-2.03,-0.21
Ni,D,-20.19,-18.29,-20.02,-1.9,0.17
Ni,WE,-17.04,-15.86,-16.97,-1.18,0.07
Ni,WD,-17.97,-16.61,-17.92,-1.36,0.04
Ni,ED,-18.81,-17.52,-19.07,-1.29,-0.26
Ni,WED,-18.43,-16.67,-17.99,-1.76,0.45
Fe,W,-16.76,-16.29,-14.78,-0.48,1.99
Fe,E,-20.22,-16.78,-18.49,-3.44,1.74
Fe,D,-23.56,-21.45,-21.94,-2.11,1.61
Fe,WE,-18.65,-16.5,-16.63,-2.14,2.01
Fe,WD,-20.58,-18.98,-18.36,-1.6,2.22
Fe,ED,-22.08,-19.01,-20.21,-3.07,1.86
Fe,WED,-20.39,-18.21,-18.4,-2.18,1.99
